timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,4.0,44.0,52.0,48.0,75
2017-11-04 00:00:00+00:00,8.62068965517,41.3793103448,50.0,41.3793103448,58
2017-11-05 00:00:00+00:00,10.7142857143,35.7142857143,53.5714285714,42.8571428571,56
2017-11-06 00:00:00+00:00,37.3626373626,35.1648351648,27.4725274725,-9.89010989011,91
2017-11-07 00:00:00+00:00,38.3720930233,44.1860465116,17.4418604651,-20.9302325581,86
2017-11-08 00:00:00+00:00,12.9032258065,54.8387096774,32.2580645161,19.3548387097,62
2017-11-09 00:00:00+00:00,8.33333333333,58.3333333333,33.3333333333,25.0,48
2017-11-10 00:00:00+00:00,9.61538461538,53.8461538462,36.5384615385,26.9230769231,52
2017-11-11 00:00:00+00:00,9.09090909091,52.7272727273,38.1818181818,29.0909090909,55
2017-11-12 00:00:00+00:00,17.7777777778,48.8888888889,33.3333333333,15.5555555556,45
2017-11-13 00:00:00+00:00,10.0,58.0,32.0,22.0,50
2017-11-14 00:00:00+00:00,21.2121212121,39.3939393939,39.3939393939,18.1818181818,33
