timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-11 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-13 00:00:00+00:00,5.88235294118,1.96078431373,92.1568627451,86.2745098039,51.0
2017-11-14 00:00:00+00:00,1.69491525424,42.3728813559,55.9322033898,54.2372881356,59.0
2017-11-20 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-11-21 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-11-22 00:00:00+00:00,0.0,0.0,100.0,100.0,4.0
2017-11-23 00:00:00+00:00,0.0,5.88235294118,94.1176470588,94.1176470588,17.0
2017-11-24 00:00:00+00:00,0.0,0.0,100.0,100.0,3.0
2017-11-26 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-11-27 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-12-02 00:00:00+00:00,100.0,0.0,0.0,-100.0,1.0
2017-12-04 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-11 00:00:00+00:00,0.0,0.0,100.0,100.0,3.0
2017-12-12 00:00:00+00:00,0.0,50.0,50.0,50.0,6.0
2017-12-13 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-12-14 00:00:00+00:00,0.0,0.0,100.0,100.0,11.0
2017-12-15 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-12-19 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-12-30 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2018-01-04 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
