timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,2.29007633588,28.2442748092,69.465648855,67.1755725191,131
2017-11-11 00:00:00+00:00,11.5702479339,48.7603305785,39.6694214876,28.0991735537,121
2017-11-12 00:00:00+00:00,10.067114094,46.3087248322,43.6241610738,33.5570469799,149
2017-11-13 00:00:00+00:00,14.4016227181,41.3793103448,44.2190669371,29.8174442191,986
2017-11-14 00:00:00+00:00,15.2073732719,32.7188940092,52.0737327189,36.866359447,217
2017-11-20 00:00:00+00:00,15.4975530179,39.4779771615,45.0244698206,29.5269168026,613
2017-11-21 00:00:00+00:00,10.6719367589,41.8972332016,47.4308300395,36.7588932806,253
2017-11-22 00:00:00+00:00,15.306122449,34.693877551,50.0,34.693877551,98
2017-11-23 00:00:00+00:00,7.46268656716,31.3432835821,61.1940298507,53.7313432836,67
2017-11-24 00:00:00+00:00,11.8279569892,34.4086021505,53.7634408602,41.935483871,93
2017-11-25 00:00:00+00:00,9.09090909091,34.8484848485,56.0606060606,46.9696969697,66
2017-11-26 00:00:00+00:00,5.47945205479,49.3150684932,45.2054794521,39.7260273973,73
2017-11-27 00:00:00+00:00,11.7309269893,44.2165709598,44.0525020509,32.3215750615,1219
2017-11-28 00:00:00+00:00,7.19696969697,49.2424242424,43.5606060606,36.3636363636,264
2017-11-29 00:00:00+00:00,11.2,33.6,55.2,44.0,125
2017-12-01 00:00:00+00:00,2.5974025974,69.696969697,27.7056277056,25.1082251082,231
2017-12-02 00:00:00+00:00,7.76699029126,46.6019417476,45.6310679612,37.8640776699,103
2017-12-03 00:00:00+00:00,8.05369127517,37.5838926174,54.3624161074,46.3087248322,149
2017-12-04 00:00:00+00:00,12.6799177519,49.1432488005,38.1768334476,25.4969156957,1459
