timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-04 00:00:00+00:00,18.6579378069,50.3273322422,31.0147299509,12.356792144,1222
2017-11-05 00:00:00+00:00,12.9671319226,60.3782080144,26.654660063,13.6875281405,2221
2017-11-06 00:00:00+00:00,14.5462440295,59.3573599653,26.0963960052,11.5501519757,2303
2017-11-07 00:00:00+00:00,16.1988304094,53.216374269,30.5847953216,14.3859649123,1710
2017-11-08 00:00:00+00:00,19.8817839871,46.4803868888,33.6378291241,13.756045137,1861
2017-11-09 00:00:00+00:00,14.7868321641,52.5634106854,32.6497571506,17.8629249865,1853
2017-11-10 00:00:00+00:00,14.2301278488,44.9138410228,40.8560311284,26.6259032796,1799
2017-11-11 00:00:00+00:00,13.9534883721,42.7002583979,43.34625323,29.3927648579,1548
2017-11-12 00:00:00+00:00,14.3661971831,43.8732394366,41.7605633803,27.3943661972,1420
2017-11-13 00:00:00+00:00,14.0430351076,40.8833522084,45.073612684,31.0305775764,1766
2017-11-14 00:00:00+00:00,11.9469026549,48.598820059,39.4542772861,27.5073746313,1356
2017-11-21 00:00:00+00:00,12.0870870871,67.9429429429,19.96996997,7.88288288288,1332
2017-11-22 00:00:00+00:00,17.7639751553,47.2670807453,34.9689440994,17.2049689441,1610
2017-11-23 00:00:00+00:00,19.6078431373,39.8692810458,40.522875817,20.9150326797,1377
2017-11-24 00:00:00+00:00,17.217716781,37.6169681847,45.1653150343,27.9475982533,1603
2017-11-25 00:00:00+00:00,27.8327832783,39.2739273927,32.8932893289,5.06050605061,1818
2017-11-26 00:00:00+00:00,21.7447916667,50.3255208333,27.9296875,6.18489583333,1536
2017-11-27 00:00:00+00:00,13.9910813824,56.4659977703,29.5429208473,15.5518394649,1794
2017-11-28 00:00:00+00:00,11.4097123998,33.1447430457,55.4455445545,44.0358321546,2121
2017-11-29 00:00:00+00:00,8.62812769629,39.1285591027,52.243313201,43.6151855047,2318
2017-12-01 00:00:00+00:00,8.44716031632,25.2695902229,66.2832494608,57.8360891445,2782
2017-12-02 00:00:00+00:00,15.0503778338,35.6423173804,49.3073047859,34.2569269521,1588
2017-12-03 00:00:00+00:00,17.2687861272,41.8352601156,40.8959537572,23.6271676301,1384
2017-12-04 00:00:00+00:00,14.4349477683,31.7188983856,53.8461538462,39.4112060779,1053
