timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-11-04 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-05 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-11-06 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,3.0
2017-11-07 00:00:00+00:00,33.3333333333,66.6666666667,0.0,-33.3333333333,3.0
2017-11-08 00:00:00+00:00,0.0,100.0,0.0,0.0,5.0
2017-11-09 00:00:00+00:00,9.09090909091,45.4545454545,45.4545454545,36.3636363636,11.0
2017-11-10 00:00:00+00:00,0.0,27.2727272727,72.7272727273,72.7272727273,11.0
2017-11-11 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-12 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-11-14 00:00:00+00:00,0.0,62.5,37.5,37.5,8.0
