timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,10.7199159222,46.9259064635,42.3541776143,31.6342616921,1903
2017-11-04 00:00:00+00:00,9.3559003291,64.2924306535,26.3516690174,16.9957686883,4254
2017-11-05 00:00:00+00:00,10.4952830189,54.5990566038,34.9056603774,24.4103773585,848
2017-11-06 00:00:00+00:00,11.1764705882,58.431372549,30.3921568627,19.2156862745,510
2017-11-07 00:00:00+00:00,11.6834170854,70.2261306533,18.0904522613,6.40703517588,796
2017-11-08 00:00:00+00:00,10.2966841187,54.1012216405,35.6020942408,25.3054101222,573
2017-11-09 00:00:00+00:00,16.4086687307,41.7956656347,41.7956656347,25.386996904,323
2017-11-10 00:00:00+00:00,17.4074074074,33.3333333333,49.2592592593,31.8518518519,270
2017-11-11 00:00:00+00:00,11.0714285714,41.7857142857,47.1428571429,36.0714285714,280
2017-11-12 00:00:00+00:00,29.6187683284,33.137829912,37.2434017595,7.62463343109,341
2017-11-13 00:00:00+00:00,31.0185185185,32.4074074074,36.5740740741,5.55555555556,216
2017-11-14 00:00:00+00:00,16.40625,46.09375,37.5,21.09375,128
2017-11-20 00:00:00+00:00,15.8536585366,41.4634146341,42.6829268293,26.8292682927,82
2017-11-21 00:00:00+00:00,13.1868131868,51.6483516484,35.1648351648,21.978021978,91
2017-11-22 00:00:00+00:00,6.94444444444,56.9444444444,36.1111111111,29.1666666667,72
2017-11-23 00:00:00+00:00,7.57575757576,63.6363636364,28.7878787879,21.2121212121,66
2017-11-24 00:00:00+00:00,33.9449541284,34.8623853211,31.1926605505,-2.75229357798,109
2017-11-25 00:00:00+00:00,10.0,50.0,40.0,30.0,80
2017-11-26 00:00:00+00:00,15.9010600707,61.8374558304,22.2614840989,6.36042402827,283
2017-11-27 00:00:00+00:00,11.4478114478,62.962962963,25.5892255892,14.1414141414,297
2017-11-28 00:00:00+00:00,9.16666666667,68.3333333333,22.5,13.3333333333,120
2017-11-29 00:00:00+00:00,10.9090909091,52.7272727273,36.3636363636,25.4545454545,55
2017-12-01 00:00:00+00:00,17.0984455959,59.067357513,23.8341968912,6.73575129534,193
2017-12-02 00:00:00+00:00,20.9302325581,33.7209302326,45.3488372093,24.4186046512,86
2017-12-03 00:00:00+00:00,22.0588235294,41.9117647059,36.0294117647,13.9705882353,136
2017-12-04 00:00:00+00:00,3.33333333333,79.0476190476,17.619047619,14.2857142857,420
