timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,5.49450549451,6.59340659341,87.9120879121,82.4175824176,91.0
2017-11-11 00:00:00+00:00,9.375,34.375,56.25,46.875,32.0
2017-11-12 00:00:00+00:00,0.0,73.9130434783,26.0869565217,26.0869565217,23.0
2017-11-13 00:00:00+00:00,2.65151515152,3.78787878788,93.5606060606,90.9090909091,264.0
2017-11-14 00:00:00+00:00,1.9801980198,7.92079207921,90.099009901,88.1188118812,101.0
2017-11-20 00:00:00+00:00,1.1385199241,95.4459203036,3.4155597723,2.2770398482,527.0
2017-11-21 00:00:00+00:00,0.860832137733,96.700143472,2.43902439024,1.57819225251,697.0
2017-11-22 00:00:00+00:00,0.546448087432,95.6284153005,3.82513661202,3.27868852459,183.0
2017-11-23 00:00:00+00:00,6.45161290323,52.688172043,40.8602150538,34.4086021505,93.0
2017-11-24 00:00:00+00:00,10.0,38.0,52.0,42.0,50.0
2017-11-25 00:00:00+00:00,15.9090909091,52.2727272727,31.8181818182,15.9090909091,44.0
2017-11-26 00:00:00+00:00,10.3448275862,58.6206896552,31.0344827586,20.6896551724,29.0
2017-11-27 00:00:00+00:00,7.35294117647,50.0,42.6470588235,35.2941176471,68.0
2017-11-28 00:00:00+00:00,12.5,47.5,40.0,27.5,40.0
2017-11-29 00:00:00+00:00,4.16666666667,37.5,58.3333333333,54.1666666667,24.0
2017-12-01 00:00:00+00:00,23.0769230769,46.1538461538,30.7692307692,7.69230769231,13.0
2017-12-02 00:00:00+00:00,12.5,50.0,37.5,25.0,24.0
2017-12-03 00:00:00+00:00,18.4210526316,55.2631578947,26.3157894737,7.89473684211,38.0
2017-12-04 00:00:00+00:00,4.16666666667,45.8333333333,50.0,45.8333333333,24.0
2017-12-05 00:00:00+00:00,15.3846153846,46.1538461538,38.4615384615,23.0769230769,13.0
2017-12-06 00:00:00+00:00,42.8571428571,42.8571428571,14.2857142857,-28.5714285714,7.0
2017-12-11 00:00:00+00:00,11.1111111111,33.3333333333,55.5555555556,44.4444444444,18.0
2017-12-12 00:00:00+00:00,6.25,31.25,62.5,56.25,16.0
2017-12-13 00:00:00+00:00,12.5,37.5,50.0,37.5,8.0
2017-12-14 00:00:00+00:00,25.0,37.5,37.5,12.5,8.0
2017-12-15 00:00:00+00:00,0.0,75.0,25.0,25.0,8.0
2017-12-16 00:00:00+00:00,0.0,80.0,20.0,20.0,10.0
2017-12-17 00:00:00+00:00,9.52380952381,66.6666666667,23.8095238095,14.2857142857,21.0
2017-12-19 00:00:00+00:00,18.1818181818,54.5454545455,27.2727272727,9.09090909091,11.0
