timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-11-04 00:00:00+00:00,0.0,100.0,0.0,0.0,13.0
2017-11-05 00:00:00+00:00,8.33333333333,58.3333333333,33.3333333333,25.0,24.0
2017-11-06 00:00:00+00:00,0.0,95.2380952381,4.7619047619,4.7619047619,42.0
2017-11-07 00:00:00+00:00,2.7027027027,91.8918918919,5.40540540541,2.7027027027,37.0
2017-11-08 00:00:00+00:00,4.16666666667,45.8333333333,50.0,45.8333333333,24.0
2017-11-09 00:00:00+00:00,0.0,38.0952380952,61.9047619048,61.9047619048,21.0
2017-11-10 00:00:00+00:00,0.0,40.0,60.0,60.0,5.0
2017-11-11 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-11-12 00:00:00+00:00,0.0,0.0,100.0,100.0,3.0
2017-11-13 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-11-14 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
