timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,0.0,52.9411764706,47.0588235294,47.0588235294,17.0
2017-11-04 00:00:00+00:00,21.0526315789,10.5263157895,68.4210526316,47.3684210526,19.0
2017-11-05 00:00:00+00:00,0.0,22.2222222222,77.7777777778,77.7777777778,9.0
2017-11-06 00:00:00+00:00,13.3333333333,33.3333333333,53.3333333333,40.0,15.0
2017-11-07 00:00:00+00:00,18.75,43.75,37.5,18.75,16.0
2017-11-08 00:00:00+00:00,4.7619047619,23.8095238095,71.4285714286,66.6666666667,21.0
2017-11-09 00:00:00+00:00,5.55555555556,27.7777777778,66.6666666667,61.1111111111,18.0
2017-11-10 00:00:00+00:00,6.06060606061,27.2727272727,66.6666666667,60.6060606061,33.0
2017-11-11 00:00:00+00:00,5.26315789474,15.7894736842,78.9473684211,73.6842105263,19.0
2017-11-12 00:00:00+00:00,0.0,15.0,85.0,85.0,40.0
2017-11-13 00:00:00+00:00,6.66666666667,33.3333333333,60.0,53.3333333333,30.0
2017-11-14 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,21.0
2017-11-20 00:00:00+00:00,20.0,40.0,40.0,20.0,20.0
2017-11-21 00:00:00+00:00,13.3333333333,23.3333333333,63.3333333333,50.0,30.0
2017-11-22 00:00:00+00:00,26.0869565217,30.4347826087,43.4782608696,17.3913043478,23.0
2017-11-23 00:00:00+00:00,3.57142857143,30.9523809524,65.4761904762,61.9047619048,84.0
2017-11-24 00:00:00+00:00,7.69230769231,42.3076923077,50.0,42.3076923077,26.0
2017-11-25 00:00:00+00:00,6.45161290323,45.1612903226,48.3870967742,41.935483871,31.0
2017-11-26 00:00:00+00:00,23.5294117647,23.5294117647,52.9411764706,29.4117647059,17.0
2017-11-27 00:00:00+00:00,0.0,43.75,56.25,56.25,16.0
2017-11-28 00:00:00+00:00,0.0,40.0,60.0,60.0,20.0
2017-11-29 00:00:00+00:00,7.69230769231,15.3846153846,76.9230769231,69.2307692308,13.0
2017-12-01 00:00:00+00:00,5.88235294118,41.1764705882,52.9411764706,47.0588235294,17.0
2017-12-02 00:00:00+00:00,29.1666666667,12.5,58.3333333333,29.1666666667,24.0
2017-12-03 00:00:00+00:00,0.0,34.7826086957,65.2173913043,65.2173913043,23.0
2017-12-04 00:00:00+00:00,22.2222222222,33.3333333333,44.4444444444,22.2222222222,9.0
2017-12-05 00:00:00+00:00,16.6666666667,50.0,33.3333333333,16.6666666667,6.0
2017-12-06 00:00:00+00:00,0.0,60.0,40.0,40.0,10.0
2017-12-11 00:00:00+00:00,0.0,75.0,25.0,25.0,24.0
2017-12-12 00:00:00+00:00,3.125,59.375,37.5,34.375,32.0
2017-12-13 00:00:00+00:00,0.0,42.8571428571,57.1428571429,57.1428571429,7.0
2017-12-14 00:00:00+00:00,3.22580645161,41.935483871,54.8387096774,51.6129032258,31.0
2017-12-15 00:00:00+00:00,10.0,10.0,80.0,70.0,10.0
2017-12-16 00:00:00+00:00,0.0,25.0,75.0,75.0,8.0
2017-12-17 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,3.0
2017-12-18 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-12-19 00:00:00+00:00,0.0,62.5,37.5,37.5,16.0
2017-12-30 00:00:00+00:00,0.0,48.0,52.0,52.0,25.0
2018-01-04 00:00:00+00:00,10.0,37.5,52.5,42.5,40.0
2018-01-05 00:00:00+00:00,10.5263157895,31.5789473684,57.8947368421,47.3684210526,38.0
2018-01-06 00:00:00+00:00,21.0526315789,42.1052631579,36.8421052632,15.7894736842,38.0
2018-01-07 00:00:00+00:00,6.97674418605,34.8837209302,58.1395348837,51.1627906977,43.0
2018-01-08 00:00:00+00:00,1.23456790123,77.7777777778,20.987654321,19.7530864198,2754.0
2018-01-09 00:00:00+00:00,2.0202020202,66.6666666667,31.3131313131,29.2929292929,99.0
