timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,0.0,0.0,100.0,100.0,3.0
2017-11-04 00:00:00+00:00,0.0,40.0,60.0,60.0,5.0
2017-11-05 00:00:00+00:00,0.0,60.0,40.0,40.0,5.0
2017-11-06 00:00:00+00:00,0.0,50.0,50.0,50.0,8.0
2017-11-07 00:00:00+00:00,20.0,60.0,20.0,0.0,5.0
2017-11-08 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,3.0
2017-11-09 00:00:00+00:00,9.09090909091,81.8181818182,9.09090909091,0.0,11.0
2017-11-10 00:00:00+00:00,0.0,75.0,25.0,25.0,4.0
2017-11-11 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-12 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-11-13 00:00:00+00:00,10.0,55.0,35.0,25.0,20.0
2017-11-14 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-11-20 00:00:00+00:00,0.0,100.0,0.0,0.0,9.0
2017-11-21 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,3.0
2017-11-22 00:00:00+00:00,0.0,100.0,0.0,0.0,6.0
2017-11-23 00:00:00+00:00,0.0,22.2222222222,77.7777777778,77.7777777778,9.0
2017-11-24 00:00:00+00:00,0.0,0.0,100.0,100.0,4.0
2017-11-25 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-26 00:00:00+00:00,7.14285714286,28.5714285714,64.2857142857,57.1428571429,14.0
2017-11-27 00:00:00+00:00,0.0,100.0,0.0,0.0,5.0
2017-11-28 00:00:00+00:00,7.69230769231,46.1538461538,46.1538461538,38.4615384615,13.0
2017-11-29 00:00:00+00:00,0.0,83.3333333333,16.6666666667,16.6666666667,6.0
2017-12-01 00:00:00+00:00,4.4776119403,11.9402985075,83.5820895522,79.1044776119,134.0
2017-12-02 00:00:00+00:00,4.7619047619,42.8571428571,52.380952381,47.619047619,21.0
2017-12-03 00:00:00+00:00,6.25,56.25,37.5,31.25,16.0
2017-12-04 00:00:00+00:00,0.0,50.0,50.0,50.0,6.0
2017-12-05 00:00:00+00:00,0.0,66.6666666667,33.3333333333,33.3333333333,3.0
2017-12-06 00:00:00+00:00,33.3333333333,33.3333333333,33.3333333333,0.0,3.0
2017-12-11 00:00:00+00:00,1.0152284264,11.1675126904,87.8172588832,86.8020304569,197.0
2017-12-12 00:00:00+00:00,1.96078431373,9.80392156863,88.2352941176,86.2745098039,102.0
2017-12-13 00:00:00+00:00,0.0,21.7391304348,78.2608695652,78.2608695652,23.0
2017-12-14 00:00:00+00:00,0.0,66.6666666667,33.3333333333,33.3333333333,18.0
2017-12-15 00:00:00+00:00,7.14285714286,50.0,42.8571428571,35.7142857143,14.0
2017-12-16 00:00:00+00:00,0.0,71.4285714286,28.5714285714,28.5714285714,7.0
2017-12-17 00:00:00+00:00,0.0,0.0,100.0,100.0,6.0
2017-12-19 00:00:00+00:00,0.0,60.0,40.0,40.0,5.0
