timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-03 00:00:00+00:00,18.0327868852,44.262295082,37.7049180328,19.6721311475,61
2017-11-04 00:00:00+00:00,14.7727272727,52.2727272727,32.9545454545,18.1818181818,88
2017-11-05 00:00:00+00:00,12.3287671233,50.6849315068,36.9863013699,24.6575342466,73
2017-11-06 00:00:00+00:00,9.375,48.4375,42.1875,32.8125,64
2017-11-07 00:00:00+00:00,8.06451612903,64.5161290323,27.4193548387,19.3548387097,62
2017-11-08 00:00:00+00:00,11.25,63.75,25.0,13.75,80
2017-11-09 00:00:00+00:00,1.61290322581,50.0,48.3870967742,46.7741935484,62
2017-11-10 00:00:00+00:00,12.8205128205,58.9743589744,28.2051282051,15.3846153846,78
2017-11-11 00:00:00+00:00,9.72222222222,59.7222222222,30.5555555556,20.8333333333,72
2017-11-12 00:00:00+00:00,13.1578947368,57.8947368421,28.9473684211,15.7894736842,76
2017-11-13 00:00:00+00:00,3.50877192982,57.8947368421,38.5964912281,35.0877192982,57
2017-11-14 00:00:00+00:00,16.6666666667,52.7777777778,30.5555555556,13.8888888889,72
