timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-12-08 00:00:00+00:00,7.77777777778,65.5555555556,26.6666666667,18.8888888889,90.0
2017-12-19 00:00:00+00:00,0.0,47.6744186047,52.3255813953,52.3255813953,86.0
2017-12-22 00:00:00+00:00,15.3846153846,30.7692307692,53.8461538462,38.4615384615,13.0
2017-12-30 00:00:00+00:00,5.88235294118,36.4705882353,57.6470588235,51.7647058824,85.0
2017-12-31 00:00:00+00:00,8.33333333333,36.1111111111,55.5555555556,47.2222222222,108.0
2018-01-01 00:00:00+00:00,4.3956043956,23.0769230769,72.5274725275,68.1318681319,91.0
2018-01-02 00:00:00+00:00,6.66666666667,34.6666666667,58.6666666667,52.0,75.0
2018-01-03 00:00:00+00:00,7.46268656716,40.2985074627,52.2388059701,44.776119403,67.0
2018-01-04 00:00:00+00:00,3.20512820513,32.6923076923,64.1025641026,60.8974358974,156.0
2018-01-05 00:00:00+00:00,1.7667844523,80.9187279152,17.3144876325,15.5477031802,283.0
2018-01-06 00:00:00+00:00,1.88679245283,80.1886792453,17.9245283019,16.0377358491,318.0
2018-01-07 00:00:00+00:00,3.82978723404,77.0212765957,19.1489361702,15.3191489362,235.0
2018-01-08 00:00:00+00:00,4.82456140351,72.8070175439,22.3684210526,17.5438596491,228.0
2018-01-09 00:00:00+00:00,1.78571428571,88.9880952381,9.22619047619,7.44047619048,336.0
