timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,14.089347079,51.8900343643,34.0206185567,19.9312714777,291
2017-11-11 00:00:00+00:00,7.25773195876,21.2783505155,71.4639175258,64.206185567,2425
2017-11-12 00:00:00+00:00,3.72413793103,19.1724137931,77.1034482759,73.3793103448,725
2017-11-13 00:00:00+00:00,11.8546845124,35.1816443595,52.9636711281,41.1089866157,523
2017-11-14 00:00:00+00:00,9.9173553719,65.2892561983,24.7933884298,14.8760330579,242
2017-11-20 00:00:00+00:00,12.0111731844,49.4413407821,38.5474860335,26.5363128492,358
2017-11-21 00:00:00+00:00,10.6976744186,40.4651162791,48.8372093023,38.1395348837,215
2017-11-22 00:00:00+00:00,9.13461538462,49.5192307692,41.3461538462,32.2115384615,208
2017-11-23 00:00:00+00:00,12.865497076,35.6725146199,51.4619883041,38.5964912281,171
2017-11-24 00:00:00+00:00,14.3835616438,36.9863013699,48.6301369863,34.2465753425,146
2017-11-25 00:00:00+00:00,9.15032679739,48.3660130719,42.4836601307,33.3333333333,153
2017-11-26 00:00:00+00:00,12.4324324324,43.2432432432,44.3243243243,31.8918918919,185
2017-11-27 00:00:00+00:00,9.18032786885,43.9344262295,46.8852459016,37.7049180328,305
2017-11-28 00:00:00+00:00,9.41704035874,34.5291479821,56.0538116592,46.6367713004,223
2017-11-29 00:00:00+00:00,10.4166666667,42.7083333333,46.875,36.4583333333,192
2017-12-02 00:00:00+00:00,21.8045112782,46.6165413534,31.5789473684,9.77443609023,133
2017-12-03 00:00:00+00:00,9.60698689956,62.4454148472,27.9475982533,18.3406113537,229
2017-12-04 00:00:00+00:00,5.26315789474,54.3859649123,40.350877193,35.0877192982,171
