timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-11 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-11-12 00:00:00+00:00,11.1111111111,88.8888888889,0.0,-11.1111111111,9.0
2017-11-13 00:00:00+00:00,40.0,0.0,60.0,20.0,5.0
2017-11-14 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-20 00:00:00+00:00,0.0,42.8571428571,57.1428571429,57.1428571429,7.0
2017-11-21 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-11-22 00:00:00+00:00,25.0,58.3333333333,16.6666666667,-8.33333333333,12.0
2017-11-23 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-11-24 00:00:00+00:00,0.0,66.6666666667,33.3333333333,33.3333333333,3.0
2017-11-25 00:00:00+00:00,25.0,75.0,0.0,-25.0,4.0
2017-11-26 00:00:00+00:00,0.0,54.5454545455,45.4545454545,45.4545454545,11.0
2017-11-27 00:00:00+00:00,33.3333333333,0.0,66.6666666667,33.3333333333,3.0
2017-11-28 00:00:00+00:00,100.0,0.0,0.0,-100.0,1.0
2017-11-29 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-12-01 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-02 00:00:00+00:00,33.3333333333,66.6666666667,0.0,-33.3333333333,3.0
2017-12-03 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-04 00:00:00+00:00,20.0,60.0,20.0,0.0,5.0
2017-12-06 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-12-11 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-12-12 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-12-13 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-14 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-12-17 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-19 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
