timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,53.8461538462,15.3846153846,30.7692307692,-23.0769230769,13.0
2017-11-11 00:00:00+00:00,27.2727272727,45.4545454545,27.2727272727,0.0,11.0
2017-11-12 00:00:00+00:00,33.3333333333,46.6666666667,20.0,-13.3333333333,15.0
2017-11-13 00:00:00+00:00,33.3333333333,11.1111111111,55.5555555556,22.2222222222,9.0
2017-11-14 00:00:00+00:00,37.5,50.0,12.5,-25.0,8.0
2017-11-20 00:00:00+00:00,13.6363636364,22.7272727273,63.6363636364,50.0,22.0
2017-11-21 00:00:00+00:00,14.2857142857,7.14285714286,78.5714285714,64.2857142857,14.0
2017-11-22 00:00:00+00:00,6.66666666667,33.3333333333,60.0,53.3333333333,15.0
2017-11-23 00:00:00+00:00,6.66666666667,40.0,53.3333333333,46.6666666667,15.0
2017-11-24 00:00:00+00:00,18.75,37.5,43.75,25.0,16.0
2017-11-25 00:00:00+00:00,22.2222222222,66.6666666667,11.1111111111,-11.1111111111,9.0
2017-11-26 00:00:00+00:00,36.3636363636,36.3636363636,27.2727272727,-9.09090909091,11.0
2017-11-27 00:00:00+00:00,25.0,60.7142857143,14.2857142857,-10.7142857143,28.0
2017-11-28 00:00:00+00:00,11.7647058824,52.9411764706,35.2941176471,23.5294117647,17.0
2017-11-29 00:00:00+00:00,22.2222222222,22.2222222222,55.5555555556,33.3333333333,9.0
2017-12-01 00:00:00+00:00,7.69230769231,30.7692307692,61.5384615385,53.8461538462,13.0
2017-12-02 00:00:00+00:00,22.2222222222,11.1111111111,66.6666666667,44.4444444444,9.0
2017-12-03 00:00:00+00:00,30.7692307692,30.7692307692,38.4615384615,7.69230769231,13.0
2017-12-04 00:00:00+00:00,0.0,72.7272727273,27.2727272727,27.2727272727,11.0
2017-12-05 00:00:00+00:00,11.1111111111,33.3333333333,55.5555555556,44.4444444444,9.0
2017-12-06 00:00:00+00:00,14.2857142857,57.1428571429,28.5714285714,14.2857142857,7.0
2017-12-11 00:00:00+00:00,75.0,25.0,0.0,-75.0,4.0
2017-12-12 00:00:00+00:00,15.3846153846,38.4615384615,46.1538461538,30.7692307692,13.0
2017-12-13 00:00:00+00:00,33.3333333333,55.5555555556,11.1111111111,-22.2222222222,9.0
2017-12-14 00:00:00+00:00,23.0769230769,30.7692307692,46.1538461538,23.0769230769,13.0
2017-12-15 00:00:00+00:00,36.3636363636,36.3636363636,27.2727272727,-9.09090909091,11.0
2017-12-16 00:00:00+00:00,55.5555555556,22.2222222222,22.2222222222,-33.3333333333,9.0
2017-12-17 00:00:00+00:00,14.2857142857,28.5714285714,57.1428571429,42.8571428571,14.0
2017-12-19 00:00:00+00:00,25.0,0.0,75.0,50.0,8.0
2017-12-30 00:00:00+00:00,30.0,30.0,40.0,10.0,10.0
2018-01-04 00:00:00+00:00,25.0,62.5,12.5,-12.5,8.0
