timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-12-04 00:00:00+00:00,0.0,0.0,100.0,100.0,3.0
2017-12-05 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
2017-12-06 00:00:00+00:00,0.0,80.0,20.0,20.0,5.0
2017-12-11 00:00:00+00:00,25.0,25.0,50.0,25.0,8.0
2017-12-12 00:00:00+00:00,11.1111111111,72.2222222222,16.6666666667,5.55555555556,18.0
2017-12-13 00:00:00+00:00,0.0,76.9230769231,23.0769230769,23.0769230769,13.0
2017-12-14 00:00:00+00:00,45.4545454545,27.2727272727,27.2727272727,-18.1818181818,11.0
2017-12-15 00:00:00+00:00,11.1111111111,44.4444444444,44.4444444444,33.3333333333,9.0
2017-12-16 00:00:00+00:00,0.0,12.5,87.5,87.5,8.0
2017-12-17 00:00:00+00:00,0.0,40.0,60.0,60.0,5.0
2017-12-19 00:00:00+00:00,25.0,50.0,25.0,0.0,4.0
