timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,12.962962963,29.6296296296,57.4074074074,44.4444444444,54.0
2017-11-11 00:00:00+00:00,14.4736842105,28.9473684211,56.5789473684,42.1052631579,76.0
2017-11-12 00:00:00+00:00,9.25925925926,38.8888888889,51.8518518519,42.5925925926,54.0
2017-11-13 00:00:00+00:00,3.77358490566,52.8301886792,43.3962264151,39.6226415094,53.0
2017-11-14 00:00:00+00:00,9.09090909091,43.1818181818,47.7272727273,38.6363636364,44.0
2017-11-20 00:00:00+00:00,5.88235294118,41.1764705882,52.9411764706,47.0588235294,34.0
2017-11-21 00:00:00+00:00,6.45161290323,41.935483871,51.6129032258,45.1612903226,31.0
2017-11-22 00:00:00+00:00,5.40540540541,37.8378378378,56.7567567568,51.3513513514,37.0
2017-11-23 00:00:00+00:00,13.6363636364,22.7272727273,63.6363636364,50.0,22.0
2017-11-24 00:00:00+00:00,16.6666666667,33.3333333333,50.0,33.3333333333,12.0
2017-11-25 00:00:00+00:00,13.6363636364,27.2727272727,59.0909090909,45.4545454545,22.0
2017-11-26 00:00:00+00:00,5.71428571429,28.5714285714,65.7142857143,60.0,35.0
2017-11-27 00:00:00+00:00,1.72413793103,34.4827586207,63.7931034483,62.0689655172,58.0
2017-11-28 00:00:00+00:00,6.06060606061,51.5151515152,42.4242424242,36.3636363636,33.0
2017-11-29 00:00:00+00:00,0.0,89.0243902439,10.9756097561,10.9756097561,82.0
2017-12-01 00:00:00+00:00,7.69230769231,35.8974358974,56.4102564103,48.7179487179,39.0
2017-12-02 00:00:00+00:00,21.4285714286,42.8571428571,35.7142857143,14.2857142857,14.0
2017-12-03 00:00:00+00:00,0.0,60.0,40.0,40.0,10.0
2017-12-04 00:00:00+00:00,4.54545454545,27.2727272727,68.1818181818,63.6363636364,22.0
2017-12-05 00:00:00+00:00,0.0,68.75,31.25,31.25,16.0
2017-12-06 00:00:00+00:00,7.14285714286,64.2857142857,28.5714285714,21.4285714286,14.0
2017-12-11 00:00:00+00:00,0.0,22.2222222222,77.7777777778,77.7777777778,9.0
2017-12-12 00:00:00+00:00,0.0,52.1739130435,47.8260869565,47.8260869565,23.0
2017-12-13 00:00:00+00:00,0.0,68.75,31.25,31.25,16.0
2017-12-14 00:00:00+00:00,0.0,33.3333333333,66.6666666667,66.6666666667,9.0
2017-12-15 00:00:00+00:00,0.0,52.380952381,47.619047619,47.619047619,21.0
2017-12-16 00:00:00+00:00,0.0,36.3636363636,63.6363636364,63.6363636364,22.0
2017-12-17 00:00:00+00:00,0.0,66.6666666667,33.3333333333,33.3333333333,15.0
2017-12-18 00:00:00+00:00,0.0,100.0,0.0,0.0,2.0
2017-12-19 00:00:00+00:00,5.88235294118,47.0588235294,47.0588235294,41.1764705882,34.0
2017-12-22 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-12-30 00:00:00+00:00,0.0,60.0,40.0,40.0,10.0
2018-01-04 00:00:00+00:00,20.0,40.0,40.0,20.0,10.0
