timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-07 00:00:00+00:00,0.0,75.0,25.0,25.0,4.0
2017-11-08 00:00:00+00:00,0.0,60.0,40.0,40.0,5.0
2017-11-09 00:00:00+00:00,0.0,95.0,5.0,5.0,20.0
2017-11-11 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-11-20 00:00:00+00:00,10.0,65.0,25.0,15.0,20.0
2017-11-21 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-11-22 00:00:00+00:00,0.0,40.0,60.0,60.0,5.0
2017-11-24 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-01 00:00:00+00:00,0.0,95.8333333333,4.16666666667,4.16666666667,24.0
2017-12-02 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-04 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-12-06 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-12 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-16 00:00:00+00:00,0.0,0.0,100.0,100.0,1.0
