timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,38.4615384615,30.7692307692,30.7692307692,-7.69230769231,13
2017-11-11 00:00:00+00:00,31.25,50.0,18.75,-12.5,16
2017-11-12 00:00:00+00:00,30.0,60.0,10.0,-20.0,10
2017-11-13 00:00:00+00:00,37.5,50.0,12.5,-25.0,16
2017-11-14 00:00:00+00:00,26.6666666667,53.3333333333,20.0,-6.66666666667,15
2017-11-20 00:00:00+00:00,5.88235294118,58.8235294118,35.2941176471,29.4117647059,17
2017-11-21 00:00:00+00:00,20.0,40.0,40.0,20.0,15
2017-11-22 00:00:00+00:00,18.75,50.0,31.25,12.5,16
2017-11-23 00:00:00+00:00,6.66666666667,40.0,53.3333333333,46.6666666667,15
2017-11-24 00:00:00+00:00,50.0,35.7142857143,14.2857142857,-35.7142857143,14
2017-11-25 00:00:00+00:00,36.3636363636,36.3636363636,27.2727272727,-9.09090909091,11
2017-11-26 00:00:00+00:00,26.6666666667,46.6666666667,26.6666666667,0.0,15
2017-11-27 00:00:00+00:00,35.7142857143,35.7142857143,28.5714285714,-7.14285714286,14
2017-11-28 00:00:00+00:00,27.7777777778,27.7777777778,44.4444444444,16.6666666667,18
2017-11-29 00:00:00+00:00,30.0,40.0,30.0,0.0,10
2017-12-01 00:00:00+00:00,27.2727272727,63.6363636364,9.09090909091,-18.1818181818,11
2017-12-02 00:00:00+00:00,7.14285714286,50.0,42.8571428571,35.7142857143,14
2017-12-03 00:00:00+00:00,18.75,37.5,43.75,25.0,16
2017-12-04 00:00:00+00:00,15.3846153846,61.5384615385,23.0769230769,7.69230769231,13
2017-12-05 00:00:00+00:00,17.6470588235,29.4117647059,52.9411764706,35.2941176471,17
2017-12-06 00:00:00+00:00,23.0769230769,46.1538461538,30.7692307692,7.69230769231,13
2017-12-11 00:00:00+00:00,25.0,25.0,50.0,25.0,4
2017-12-12 00:00:00+00:00,33.3333333333,41.6666666667,25.0,-8.33333333333,12
2017-12-13 00:00:00+00:00,21.4285714286,35.7142857143,42.8571428571,21.4285714286,14
2017-12-14 00:00:00+00:00,14.2857142857,35.7142857143,50.0,35.7142857143,14
2017-12-15 00:00:00+00:00,30.7692307692,30.7692307692,38.4615384615,7.69230769231,13
2017-12-16 00:00:00+00:00,20.0,40.0,40.0,20.0,15
2017-12-17 00:00:00+00:00,26.6666666667,46.6666666667,26.6666666667,0.0,15
2017-12-19 00:00:00+00:00,20.0,40.0,40.0,20.0,20
2017-12-30 00:00:00+00:00,44.4444444444,11.1111111111,44.4444444444,0.0,9
2018-01-04 00:00:00+00:00,12.5,25.0,62.5,50.0,8
