timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,5.1724137931,46.5517241379,48.275862069,43.1034482759,58.0
2017-11-11 00:00:00+00:00,13.1578947368,23.6842105263,63.1578947368,50.0,38.0
2017-11-12 00:00:00+00:00,4.80769230769,52.8846153846,42.3076923077,37.5,104.0
2017-11-13 00:00:00+00:00,15.0722021661,32.1750902527,52.7527075812,37.6805054152,2216.0
2017-11-14 00:00:00+00:00,13.2911392405,28.4810126582,58.2278481013,44.9367088608,316.0
2017-11-20 00:00:00+00:00,18.1818181818,18.1818181818,63.6363636364,45.4545454545,22.0
2017-11-21 00:00:00+00:00,16.0,16.0,68.0,52.0,25.0
2017-11-22 00:00:00+00:00,23.0769230769,15.3846153846,61.5384615385,38.4615384615,13.0
2017-11-23 00:00:00+00:00,55.0,27.5,17.5,-37.5,40.0
2017-11-24 00:00:00+00:00,29.4117647059,35.2941176471,35.2941176471,5.88235294118,17.0
2017-11-25 00:00:00+00:00,7.14285714286,35.7142857143,57.1428571429,50.0,14.0
2017-11-26 00:00:00+00:00,6.66666666667,40.0,53.3333333333,46.6666666667,15.0
2017-11-27 00:00:00+00:00,11.1111111111,27.7777777778,61.1111111111,50.0,18.0
2017-11-28 00:00:00+00:00,20.0,40.0,40.0,20.0,10.0
2017-11-29 00:00:00+00:00,0.0,25.0,75.0,75.0,4.0
2017-12-01 00:00:00+00:00,16.1290322581,29.0322580645,54.8387096774,38.7096774194,31.0
2017-12-02 00:00:00+00:00,23.0769230769,30.7692307692,46.1538461538,23.0769230769,13.0
2017-12-03 00:00:00+00:00,18.1818181818,27.2727272727,54.5454545455,36.3636363636,11.0
2017-12-04 00:00:00+00:00,5.55555555556,16.6666666667,77.7777777778,72.2222222222,18.0
2017-12-05 00:00:00+00:00,14.2857142857,28.5714285714,57.1428571429,42.8571428571,7.0
2017-12-06 00:00:00+00:00,0.0,37.5,62.5,62.5,8.0
2017-12-11 00:00:00+00:00,0.0,50.0,50.0,50.0,2.0
2017-12-12 00:00:00+00:00,0.0,12.5,87.5,87.5,8.0
2017-12-13 00:00:00+00:00,0.0,50.0,50.0,50.0,4.0
2017-12-14 00:00:00+00:00,0.0,0.0,100.0,100.0,3.0
2017-12-15 00:00:00+00:00,0.0,100.0,0.0,0.0,1.0
2017-12-16 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
2017-12-17 00:00:00+00:00,9.09090909091,45.4545454545,45.4545454545,36.3636363636,11.0
2017-12-19 00:00:00+00:00,0.0,50.0,50.0,50.0,4.0
2017-12-30 00:00:00+00:00,0.0,25.0,75.0,75.0,4.0
2018-01-04 00:00:00+00:00,0.0,0.0,100.0,100.0,2.0
