timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-11-10 00:00:00+00:00,50.8143322476,12.7035830619,36.4820846906,-14.332247557,307
2017-11-11 00:00:00+00:00,29.1666666667,29.6875,41.1458333333,11.9791666667,192
2017-11-12 00:00:00+00:00,15.5844155844,29.2207792208,55.1948051948,39.6103896104,154
2017-11-13 00:00:00+00:00,8.52713178295,36.4341085271,55.0387596899,46.511627907,129
2017-11-14 00:00:00+00:00,8.42105263158,35.7894736842,55.7894736842,47.3684210526,95
2017-11-20 00:00:00+00:00,21.09375,20.3125,58.59375,37.5,128
2017-11-21 00:00:00+00:00,4.1958041958,16.7832167832,79.020979021,74.8251748252,286
2017-11-22 00:00:00+00:00,9.27835051546,17.5257731959,73.1958762887,63.9175257732,194
2017-11-23 00:00:00+00:00,6.99300699301,43.3566433566,49.6503496503,42.6573426573,143
2017-11-24 00:00:00+00:00,4.91228070175,43.8596491228,51.2280701754,46.3157894737,285
2017-11-25 00:00:00+00:00,7.0652173913,36.4130434783,56.5217391304,49.4565217391,184
2017-11-26 00:00:00+00:00,12.7272727273,30.9090909091,56.3636363636,43.6363636364,110
2017-11-27 00:00:00+00:00,6.56934306569,40.1459854015,53.2846715328,46.7153284672,137
2017-11-28 00:00:00+00:00,5.22388059701,23.1343283582,71.6417910448,66.4179104478,134
2017-11-29 00:00:00+00:00,3.92156862745,25.4901960784,70.5882352941,66.6666666667,51
2017-12-01 00:00:00+00:00,13.6363636364,36.3636363636,50.0,36.3636363636,110
2017-12-02 00:00:00+00:00,19.1489361702,28.7234042553,52.1276595745,32.9787234043,94
2017-12-03 00:00:00+00:00,5.0,25.0,70.0,65.0,120
2017-12-04 00:00:00+00:00,9.09090909091,33.7662337662,57.1428571429,48.0519480519,77
